TID,y,x1,x2,x3,x4,x5,x6,k
177,8,0.857954545,1,1,0.866919192,0,0,4329
178,4,0.898989899,0,0,0.898989899,1,0,3353
179,4,0.898989899,1,0,0.898989899,1,0,3391
180,0,1,0,0,0.898989899,0,0,3329
181,0,1,0,0,0.898989899,0,0,3475
182,3,0.898989899,0,0,0.898989899,0,0,3202
183,0,1,0,0,0.898989899,0,0,4747
184,0,1,0,0,0.898989899,0,0,4842
185,1,0.898989899,0,0,0.898989899,0,0,3110
186,0,1,0,0,0.898989899,0,0,3293
187,0,1,0,0,0.898989899,0,0,3150
188,3,1,0,0,0.898989899,0,0,3293
189,0,1,0,0,0.898989899,0,0,3195
190,3,1,0,0,0.898989899,0,0,3754
191,1,1,0,0,0.894857668,0,0,4319
192,0,1,0,0,0.898989899,0,0,2840
193,0,1,0,0,0.898989899,0,0,2774
194,1,1,0,0,0.898989899,0,0,3263
195,1,1,0,0,0.898989899,0,0,3345
196,0,1,0,0,0.898989899,0,0,3242
197,2,1,0,0,0.747474747,1,1,4188
198,0,1,0,0,0.797979798,1,0,4164
199,1,1,0,0,0.797979798,1,0,3271
200,0,1,0,0,0.797979798,1,0,3396
201,0,1,0,0,0.797979798,1,0,3210
202,3,0.898989899,0,0,0.797979798,1,0,3252
203,1,0.898989899,0,0,0.797979798,1,0,2787
204,4,0.898989899,0,0,0.797979798,1,0,3675
205,2,0.876262626,0,0,0.782828283,0,0,4009
206,5,0.898989899,0,0,0.797979798,0,0,4303
207,4,0.898989899,0,0,0.797979798,0,0,3403
208,1,0.898989899,0,0,1,0,0,3211
209,1,0.898989899,0,0,1,0,0,4097
210,1,0.898989899,0,0,1,0,0,3648
211,2,0.898989899,0,0,1,0,0,4274
212,4,0.898989899,0,0,1,0,0,4386
213,1,0.898989899,0,0,1,0,0,3468
214,1,0.898989899,0,0,1,0,0,3843
215,1,0.898989899,0,0,1,0,0,3527
216,3,0.898989899,0,0,1,0,0,3282
217,2,0.898989899,0,0,1,0,0,3035
218,5,0.898989899,0,0,1,0,0,3870
219,1,0.898989899,0,0,1,0,0,4485
220,0,1,0,0,1,0,0,3982
221,1,0.898989899,0,0,1,0,0,3408
222,1,0.898989899,0,0,1,0,0,2267
223,1,0.898989899,0,0,1,0,0,3619
224,0,1,0,0,1,0,0,3252
225,0,1,0,0,1,0,0,3770
226,4,0.876262626,0,0,1,0,0,4356
227,2,0.848484848,1,0,0.747474747,1,1,3814
228,1,0.848484848,1,0,0.768595041,1,0,3289
229,5,0.848484848,1,0,0.792207792,1,0,2574
230,8,0.848484848,1,0,0.768350168,1,0,3185
231,10,0.848484848,1,0,0.767676768,1,0,3192
232,9,0.848484848,1,0,0.784511785,1,0,3870
233,7,0.848484848,1,0,0.771717172,1,0,4112
234,8,0.848484848,1,0,0.780663781,1,0,2998
235,4,0.848484848,1,0,0.771645022,1,0,3483
236,6,0.848484848,1,0,0.777777778,1,0,3180
237,8,0.696969697,1,1,0.774891775,1,0,3705
238,17,0.696969697,1,1,0.771043771,1,0,3402
239,7,0.696969697,1,1,0.765656566,1,0,4008
240,15,0.675757576,1,1,0.777777778,0,0,4134
241,5,0.781818182,1,0,0.784511785,0,0,3385
242,7,0.792207792,1,0,1,0,0,3232
243,3,0.771043771,1,0,0.797979798,0,0,3243
244,13,0.776223776,1,0,0.898989899,0,0,4073
245,5,0.781818182,1,0,0.898989899,0,0,3216
246,12,0.767676768,1,0,0.898989899,0,0,3253
247,12,0.791245791,1,0,0.898989899,0,0,4437
248,7,0.769119769,1,0,0.898989899,0,0,3168
249,8,0.767676768,1,0,0.898989899,0,0,2986
250,6,0.784511785,1,0,0.898989899,0,0,3027
251,6,0.777777778,1,0,0.898989899,0,0,3261
252,4,0.767676768,1,0,0.898989899,0,0,2622
253,14,0.780663781,1,0,0.898989899,0,0,3519
