id,Date,Choice,Price.A,Price.B,Price.C,Display.A,Display.B,Display.C,Ad.A,Ad.B,Ad.C
100282,20001216,B,0.873239437,0.812286689,1,0,0,1,0,0,0
100282,20001231,A,0.626760563,0.880546075,1,0,0,0,0,0,0
100282,20010131,A,0.873239437,1,1,0,0,0,0,0,0
100282,20010218,B,1,0.880546075,1,0,0,0,0,0,0
100282,20010313,B,1,0.880546075,1,0,0,0,0,0,0
100282,20010416,A,0.873239437,1,1,0,0,0,0,0,0
100282,20010523,A,0.852112676,1,0.988175676,0,0,1,0,0,0
100282,20010619,A,0.873239437,1,1,0,0,0,0,0,0
100282,20010727,A,0.873239437,1,1,0,0,0,0,0,0
100282,20010927,A,0.873239437,1,1,0,0,1,0,0,0
100282,20011029,A,1,1,1,0,0,0,0,0,0
100282,20011215,A,0.873239437,0.520346548,1,0,1,1,0,0,0
100282,20020221,B,1,0.603723239,0.996422893,0,1,1,0,1,0
100282,20020329,C,0.853873239,0.812286689,1,0,1,0,0,0,0
100282,20020502,B,1,0.641638225,1,0,1,0,0,0,0
100282,20020613,B,0.827464789,0.675767918,1,0,1,0,0,0,0
100282,20020717,B,1,0.80918399,1,0,0,0,0,0,0
100282,20020822,B,0.873239437,0.812286689,0.984234234,1,0,0,0,0,0
100282,20021010,A,0.795774648,0.845051195,0.96875,0,0,0,0,0,0
100282,20021108,B,1,0.675767918,1,0,0,0,0,0,0
100282,20021201,A,0.805946792,0.948805461,0.968629344,0,0,0,0,0,0
100282,20021228,B,1,0.83985298,0.973648649,0,0,0,0,0,0
100282,20030121,A,0.838028169,1,0.985585586,0,0,0,0,0,0
100282,20030306,B,1,0.831789371,0.978228228,0,1,0,0,0,0
100282,20030324,C,0.828028169,0.933447099,1,1,0,0,0,0,0
100282,20030408,C,0.838028169,0.931740614,0.984459459,0,0,0,0,0,0
100282,20030708,C,0.988116197,0.812286689,0.998069498,0,0,0,0,0,0
100282,20030808,C,0.838028169,1,1,0,0,0,0,0,0
100287,20000219,B,1,0.671386403,1,0,1,1,0,0,0
100287,20000602,B,0.908450704,0.812286689,1,0,1,1,0,0,0
100287,20000609,B,0.908450704,0.812286689,1,0,1,0,0,0,0
100287,20000801,A,0.521126761,1,1,1,0,0,1,0,0
100287,20000923,C,0.866738895,0.961604096,0.988738739,0,0,0,0,0,0
100287,20001010,C,0.873239437,1,1,0,0,1,0,0,0
100287,20001202,A,0.626760563,1,1,1,0,1,1,0,0
100287,20001219,C,0.873239437,1,1,0,0,1,0,0,0
100287,20010315,A,0.626760563,1,1,1,0,0,1,0,0
100287,20010624,C,1,0.880546075,0.996846847,0,0,0,0,0,0
100287,20010924,C,0.873239437,1,1,0,0,1,0,0,0
100287,20011002,C,0.873239437,1,1,0,0,1,0,0,0
100287,20011105,C,1,0.880546075,1,0,0,0,0,0,0
100287,20011212,B,0.873239437,0.522153553,1,0,1,1,0,0,0
100287,20011228,A,0.556338028,0.880546075,1,0,0,0,0,0,0
100287,20020408,A,0.865757042,1,1,1,0,0,0,0,0
100287,20020501,B,1,0.636470015,1,0,1,0,0,0,0
100287,20020805,B,0.873239437,0.635518418,1,0,1,0,0,0,0
100287,20020909,B,1,0.602822067,0.987451737,0,1,0,0,0,0
100287,20021014,C,0.795774648,0.851535836,0.993243243,0,1,1,0,0,0
100287,20021129,C,0.827464789,1,0.980212355,0,0,0,0,0,0
100287,20030402,C,0.816901408,1,0.990786241,0,0,0,0,0,0
100287,20030502,B,0.838028169,0.65918302,0.973648649,0,1,0,0,0,0
100287,20030627,B,1,0.789675768,0.978228228,0,0,0,0,0,0
100367,20000116,C,1,0.880546075,1,0,0,1,0,0,0
100367,20000203,C,0.908450704,1,1,0,0,1,0,0,0
100367,20000229,C,0.802816901,0.846416382,1,1,0,1,0,0,0
100367,20000315,C,1,1,1,0,0,1,0,0,0
100367,20000331,C,0.908450704,1,1,0,0,1,0,0,0
100367,20000504,C,1,0.948805461,1,0,0,1,0,0,0
100367,20000626,C,1,0.846416382,1,0,0,0,0,0,0
100367,20000715,B,1,0.573297092,1,0,1,0,0,1,0
100367,20000801,A,0.521126761,1,1,1,0,0,1,0,0
100367,20000820,C,1,0.846416382,1,0,0,1,0,0,0
100367,20000919,C,1,0.846416382,1,0,0,0,0,0,0
100367,20001023,C,1,0.875616231,0.988175676,0,0,0,0,0,0
100367,20001116,C,0.873239437,1,1,0,0,1,0,0,0
100367,20001202,A,0.626760563,1,1,1,0,1,1,0,0
100367,20010121,C,0.873239437,1,1,0,0,1,0,0,0
100367,20010207,C,0.873239437,1,1,0,0,0,0,0,0
100367,20010224,C,1,0.880546075,1,0,0,0,0,0,0
100367,20010304,B,0.975352113,0.565941328,0.982219061,0,1,0,0,1,0
100367,20010415,C,0.873239437,1,1,0,0,0,0,0,0
100367,20010511,C,1,0.880546075,1,0,0,0,0,0,0
100367,20010608,C,0.873239437,0.675767918,1,0,1,1,0,0,0
100367,20010707,C,1,0.876109215,1,0,0,0,0,0,0
100367,20010729,B,0.857142857,0.615145051,1,0,0,0,0,0,0
100367,20010819,C,1,1,1,0,0,0,0,0,0
100367,20010909,B,0.963028169,0.563757616,0.984234234,0,1,0,0,1,0
100367,20011005,C,0.873239437,1,1,0,0,1,0,0,0
100367,20011101,C,1,0.57337884,1,0,0,0,0,0,0
100367,20011115,B,0.873239437,0.539249147,1,0,1,0,0,1,0
100367,20011211,C,0.873239437,0.51772349,1,0,1,1,0,0,0
100367,20011228,A,0.556338028,0.880546075,1,0,0,0,0,0,0
100367,20020119,C,0.866818558,1,0.992203742,0,0,0,0,0,0
100367,20020219,C,0.873239437,1,1,0,0,1,0,0,0
