panel,q12,q13,q14,q15,q19,q23,q24,q25,q26,q27,q3,q5,q7,q22,q10,q11,q17,q18,q1,q2,q4,q6,q8,q9,q16,q20,q21,age,gender,year,type
714043,2,4,4,1,1,4,2,4,4,4,5,4,4,4,4,3,4,2,4,4,2,4,4,3,2,4,1,56,1,25,3
715716,3,3,3,3,3,4,3,3,4,3,4,4,4,4,3,4,4,3,4,3,4,4,3,4,3,3,3,43,0,4,2
716342,3,3,3,3,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,39,1,1,2
717646,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,4,2,4,3,4,2,2,2,30,1,9,2
723446,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,0,5,2
736451,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,0,4,2
738558,2,1,2,2,1,3,3,4,4,3,2,4,4,3,1,1,1,1,3,3,2,3,3,2,3,4,1,37,0,7,2
739500,1,4,1,1,2,5,2,2,2,2,4,4,2,5,1,1,3,2,4,2,2,4,1,4,1,3,2,29,0,5,2
739586,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,43,0,9,2
745346,3,3,3,3,3,4,4,3,4,4,4,4,4,4,2,1,4,3,3,4,4,5,3,5,3,4,2,49,0,30,2
745466,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,3,4,2,63,0,5,2
745588,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,37,0,15,2
745791,2,2,2,2,2,2,3,2,2,2,4,3,3,2,2,2,2,2,4,4,3,4,3,3,2,4,2,39,0,6,2
746137,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,52,0,0,3
746259,2,2,2,2,2,4,4,2,2,2,4,4,4,4,4,2,2,2,2,2,2,2,4,3,2,2,2,47,0,2,1
747365,3,3,3,3,3,4,4,3,3,3,4,4,3,4,3,2,3,3,3,4,3,4,3,4,4,3,2,48,0,12,2
758162,2,2,3,2,3,3,3,3,3,3,4,4,4,3,2,2,3,3,3,2,3,4,3,3,3,2,1,39,1,10,2
808115,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,0,3,2
814780,1,1,2,1,1,4,4,2,4,4,4,4,4,4,2,1,1,1,3,4,3,5,2,4,3,4,4,45,0,8,3
817013,2,2,3,2,2,4,3,2,2,3,3,3,2,3,1,1,2,2,2,4,4,3,1,3,2,3,3,42,0,2,2
827648,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,2,2,2,3,3,3,4,4,2,2,2,2,29,0,2,2
839267,3,2,2,2,3,3,3,3,3,3,4,3,4,3,1,3,2,2,3,4,3,3,2,3,3,3,2,39,0,3,2
848577,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,3,2,2,3,3,4,4,3,4,4,4,1,67,0,12,1
863889,3,2,2,2,3,4,4,3,3,3,4,3,3,4,3,2,3,3,2,2,4,3,3,4,2,3,3,24,0,2,2
867131,3,3,3,1,1,4,4,4,4,4,4,4,4,4,3,3,1,1,4,4,4,1,1,3,3,1,1,55,0,9,3
867145,3,3,3,1,2,3,3,3,3,3,5,5,5,3,3,1,2,2,5,1,5,5,3,3,4,2,2,39,0,10,2
867378,4,3,4,3,3,2,3,2,3,3,2,3,2,3,5,3,3,3,3,5,4,3,3,3,2,3,3,51,0,10,1
879877,2,2,2,2,2,4,4,4,4,3,5,5,4,4,2,2,2,2,4,2,2,3,3,4,2,2,2,46,0,21,1
881095,2,4,4,4,4,4,4,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,2,27,1,5,2
883007,1,1,3,1,1,4,4,4,3,3,4,2,4,4,1,2,1,1,4,4,4,2,2,3,2,3,2,65,0,20,1
884237,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,35,0,8,2
888980,4,1,1,1,1,1,1,1,1,1,4,4,2,4,1,1,1,1,3,4,4,3,3,4,1,1,1,56,1,8,2
893717,3,3,2,3,3,4,3,3,3,3,2,4,2,3,2,3,3,3,2,2,2,2,2,2,3,3,3,36,0,6,2
935265,3,4,4,4,3,3,2,2,2,4,4,4,3,2,3,4,1,1,4,3,3,4,3,3,2,3,1,37,0,4,2
949445,3,2,3,3,2,3,4,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,2,2,3,4,2,56,0,3,2
956449,3,3,3,2,2,2,2,2,2,2,4,4,4,2,3,3,2,2,3,3,4,4,3,3,2,2,2,38,0,6,2
973218,1,1,1,1,1,3,3,3,3,3,4,4,4,5,1,1,1,1,3,3,4,1,2,1,1,1,1,48,0,10,2
978149,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,57,0,5,2
985206,1,1,3,1,1,4,3,4,3,3,3,4,4,4,1,1,3,3,4,2,3,4,3,3,3,3,3,35,0,3,2
985371,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35,0,5,2
994933,2,2,3,2,2,4,3,3,3,3,4,4,4,4,3,3,2,2,3,4,4,4,4,3,2,3,2,44,1,4,2
999462,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,2,46,1,5,1
1010394,2,1,2,1,1,3,4,2,2,2,3,3,4,3,3,3,1,2,2,3,3,3,3,3,1,2,1,39,0,5,1
1022501,2,2,2,2,2,5,5,5,4,4,4,5,5,5,2,2,4,2,5,4,4,5,2,4,4,4,2,35,1,2,2
1023468,2,2,4,2,3,4,4,4,4,3,4,4,4,4,3,3,4,3,4,2,3,4,3,4,4,4,5,40,0,10,2
1036708,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38,1,5,2
1039397,3,3,3,3,2,4,4,3,4,3,5,3,4,3,3,3,2,2,3,5,4,4,3,3,3,3,3,56,0,11,2
1085764,3,2,2,1,2,2,3,2,3,3,5,4,4,2,2,3,3,3,3,3,1,4,3,3,3,3,1,65,0,13,2
1086805,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,2,4,4,3,4,3,4,2,3,3,3,2,33,1,5,2
1089839,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,3,4,3,4,4,4,3,3,3,3,46,0,10,2
1090117,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,3,3,3,4,4,3,3,3,3,3,3,49,0,27,2
1093567,2,2,2,2,2,3,4,2,4,4,4,4,4,4,2,2,4,4,2,2,4,4,2,4,4,4,2,39,0,10,2
1094672,1,1,1,1,1,3,3,3,3,3,4,3,4,3,2,3,2,3,3,4,3,3,3,3,2,4,1,43,0,7,2
1096039,3,2,3,3,3,4,3,3,4,4,4,3,3,3,2,3,3,3,2,4,3,3,4,3,2,2,3,48,0,3,2
1096843,3,1,2,1,1,3,3,3,3,3,5,4,3,3,4,3,3,3,4,3,4,2,3,4,2,3,1,43,0,22,2
