年,月,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
year,month,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47
2014,5,2527300,419180,499610,833220,360310,437740,861950,481450,815560,734850,355680,1759160,4569980,1588350,774600,307450,655220,318460,650040,1436630,559460,1668760,1269710,730140,420290,1582230,2309080,1106450,246140,386520,277380,292270,474070,783930,411690,248150,286070,318170,282260,1347400,248870,681240,620770,514570,312040,688040,1449320
2014,6,2606660,388040,434570,824600,353830,488480,873230,422770,729840,630950,308210,1589210,4216710,1419330,705570,248320,546310,266220,521080,1098700,439520,1339310,1162280,591770,330790,1295650,2126560,960920,174150,286160,226310,242090,399780,646040,339790,190060,231280,266700,202730,1109900,178950,490500,472250,416440,281320,538860,1530270
2014,7,3308490,444250,506190,920450,347080,549460,1009930,485360,874700,696100,342380,1876830,4712490,1661590,890510,299020,591830,352750,802550,1669140,475450,1788230,1310030,727350,396750,1278090,2394920,1183700,179600,419860,242480,269260,458810,735710,372160,283580,311830,315120,263150,1302380,222120,567610,530670,454470,270960,621140,2056690
2014,8,3633000,543790,678130,1118000,443450,744690,1325520,642500,1248110,1095090,421840,2341830,5080780,2076310,1334870,430680,940640,533980,1363330,2824260,736300,2812880,1537360,1051270,611650,1582500,2763960,1601560,270890,646900,360510,351890,586020,938560,477190,355540,448480,394350,379310,1492640,276510,786490,776880,627610,378100,806790,2356080
2014,9,2993090,458170,524840,921950,350350,557370,975290,402830,846500,694520,329630,1630920,4373580,1591190,789850,334030,598990,302860,709880,1512680,505110,1626970,1242520,631520,365300,1336320,2329310,1106880,178910,340530,248280,284110,445130,733780,371570,269630,295630,299330,263570,1210080,213830,567200,566000,476130,260680,645370,1951070
2014,10,2725630,490230,569540,894480,411490,580630,1076290,425090,922860,769840,356720,1757360,4775330,1621840,854730,355720,764130,293980,596370,1430490,556410,1652770,1293010,727470,382920,1549540,2504280,1098810,205110,320750,269200,293490,500890,739020,418500,251050,299010,313500,234810,1369800,278950,706270,597270,492980,272610,632900,1637500
2014,11,2130200,348510,478330,891600,313160,459810,986100,446320,884030,781440,364030,1746780,4584190,1694590,741660,314320,708210,344140,601430,1149070,545820,1859390,1345090,798560,430450,1692940,2513680,1229120,212700,390470,296630,310420,525440,765460,431560,260460,343810,324860,247800,1418270,283390,706390,647080,583160,302960,711530,1532820
2014,12,2329930,290020,442080,810440,241900,417550,887880,435990,694490,691720,339230,1785570,4714310,1601020,711930,263720,585370,299540,462560,1236070,471580,1776870,1325960,705400,350380,1458730,2581250,1167520,145270,353170,239360,246180,425860,632950,374320,227740,262770,257130,183780,1382890,242450,602480,512970,487240,261110,581270,1546770
2015,1,2393470,287490,457600,733490,206700,429890,858360,383330,661230,673900,331180,1706760,4379130,1453010,850720,215440,515440,299140,473410,1626210,456700,1532110,1209360,661270,326490,1027010,2157410,999010,107510,311710,228530,204980,338860,613480,318190,140120,242150,261140,177460,1117240,214070,551460,475750,561650,263780,595650,1374370
2015,2,2600850,295480,428220,727350,211420,453030,812110,391170,593150,634020,317690,1699420,4466480,1476500,849620,225240,560160,312550,481990,1527960,481260,1516610,1227640,605800,325890,1097800,2154350,995410,118040,314470,222030,206270,335120,630300,326130,142880,260010,272660,198070,1157760,225730,637780,470810,551000,339370,615800,1514520
